accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,n_groups,background_groups,drone_groups,false_alarm_count,false_alarm_rate,missed_drone_count,missed_drone_rate,detection_rate,coverage,permutation,seed
0.6545454545454545,0.5166666666666666,0.5125,0.5166666666666666,0.5082352941176471,55,10,45,7,0.7,12,0.26666666666666666,0.7333333333333333,1.0,13,10054
0.21818181818181817,0.5222222222222223,0.5943396226415094,0.5222222222222223,0.20128335021952043,55,10,45,0,0.0,43,0.9555555555555556,0.044444444444444446,1.0,14,10055
0.4727272727272727,0.6000000000000001,0.5642857142857143,0.6000000000000001,0.45470085470085475,55,10,45,2,0.2,27,0.6,0.4,1.0,15,10056
0.5636363636363636,0.6555555555555556,0.5933333333333334,0.6555555555555556,0.5285714285714286,55,10,45,2,0.2,22,0.4888888888888889,0.5111111111111111,1.0,16,10057
0.8,0.6055555555555555,0.6413690476190476,0.6055555555555555,0.6173308032890575,55,10,45,7,0.7,4,0.08888888888888889,0.9111111111111111,1.0,17,10058
0.5272727272727272,0.6333333333333333,0.5815217391304348,0.6333333333333333,0.4992997198879552,55,10,45,2,0.2,24,0.5333333333333333,0.4666666666666667,1.0,18,10059
0.509090909090909,0.5833333333333333,0.5504032258064516,0.5833333333333333,0.47507953340402975,55,10,45,3,0.3,24,0.5333333333333333,0.4666666666666667,1.0,19,10060
0.21818181818181817,0.5222222222222223,0.5943396226415094,0.5222222222222223,0.20128335021952043,55,10,45,0,0.0,43,0.9555555555555556,0.044444444444444446,1.0,20,10061
0.8,0.6833333333333333,0.6704545454545454,0.6833333333333333,0.6762974852862493,55,10,45,5,0.5,6,0.13333333333333333,0.8666666666666667,1.0,21,10062
0.45454545454545453,0.5888888888888889,0.5584795321637427,0.5888888888888889,0.43953804347826086,55,10,45,2,0.2,28,0.6222222222222222,0.37777777777777777,1.0,22,10063
0.8181818181818182,0.6166666666666667,0.6785714285714286,0.6166666666666667,0.6343085106382979,55,10,45,7,0.7,3,0.06666666666666667,0.9333333333333333,1.0,23,10064
0.4727272727272727,0.6388888888888888,0.5938438438438438,0.6388888888888888,0.4613306315433975,55,10,45,1,0.1,28,0.6222222222222222,0.37777777777777777,1.0,24,10065
0.7272727272727273,0.6777777777777778,0.6238390092879257,0.6777777777777778,0.6318607764390897,55,10,45,4,0.4,11,0.24444444444444444,0.7555555555555555,1.0,25,10066
0.6545454545454545,0.5166666666666666,0.5125,0.5166666666666666,0.5082352941176471,55,10,45,7,0.7,12,0.26666666666666666,0.7333333333333333,1.0,26,10067
0.6181818181818182,0.6499999999999999,0.5900000000000001,0.6499999999999999,0.56,55,10,45,3,0.3,18,0.4,0.6,1.0,27,10068
0.21818181818181817,0.5222222222222223,0.5943396226415094,0.5222222222222223,0.20128335021952043,55,10,45,0,0.0,43,0.9555555555555556,0.044444444444444446,1.0,28,10069
0.4909090909090909,0.6111111111111112,0.5700280112044818,0.6111111111111112,0.4696969696969697,55,10,45,2,0.2,26,0.5777777777777777,0.4222222222222222,1.0,29,10070
0.45454545454545453,0.5888888888888889,0.5584795321637427,0.5888888888888889,0.43953804347826086,55,10,45,2,0.2,28,0.6222222222222222,0.37777777777777777,1.0,30,10071
0.8,0.6444444444444444,0.6570048309178744,0.6444444444444444,0.6500867553499132,55,10,45,6,0.6,5,0.1111111111111111,0.8888888888888888,1.0,31,10072
0.8545454545454545,0.6,0.9245283018867925,0.6,0.6258503401360545,55,10,45,8,0.8,0,0.0,1.0,1.0,32,10073
0.8181818181818182,0.8500000000000001,0.7364864864864865,0.8500000000000001,0.7604529616724739,55,10,45,1,0.1,9,0.2,0.8,1.0,33,10074
0.5636363636363636,0.6944444444444444,0.6188858695652174,0.6944444444444444,0.5378151260504201,55,10,45,1,0.1,23,0.5111111111111111,0.4888888888888889,1.0,34,10075
0.509090909090909,0.6222222222222222,0.5757575757575757,0.6222222222222222,0.4845539743144741,55,10,45,2,0.2,25,0.5555555555555556,0.4444444444444444,1.0,35,10076
0.45454545454545453,0.6277777777777778,0.5890092879256966,0.6277777777777778,0.44556451612903225,55,10,45,1,0.1,29,0.6444444444444445,0.35555555555555557,1.0,36,10077
0.6727272727272727,0.5666666666666667,0.5480769230769231,0.5666666666666667,0.5467032967032968,55,10,45,6,0.6,12,0.26666666666666666,0.7333333333333333,1.0,37,10078
0.2,0.5111111111111111,0.5925925925925926,0.5111111111111111,0.1779891304347826,55,10,45,0,0.0,44,0.9777777777777777,0.022222222222222223,1.0,38,10079
0.18181818181818182,0.5,0.09090909090909091,0.5,0.15384615384615385,55,10,45,0,0.0,45,1.0,0.0,1.0,39,10080
